"","nmu","coeff_mmd_95"
"222",0.221,2.83048333249954e-05
"223",0.222,2.63832350799918e-05
"224",0.223,2.45873442807692e-05
"225",0.224,2.29092734900388e-05
"226",0.225,2.13416070575728e-05
"227",0.226,1.98773744516827e-05
"228",0.227,1.85100249559509e-05
"229",0.228,1.72334038034637e-05
"230",0.229,1.60417294508311e-05
"231",0.23,1.49295721676331e-05
"232",0.231,1.38918337731266e-05
"233",0.232,1.29237283956465e-05
"234",0.233,1.20207643618278e-05
"235",0.234,1.11787270200803e-05
"236",0.235,1.03936625493865e-05
"237",0.236,9.66186258152064e-06
"238",0.237,8.97984976001212e-06
"239",0.238,8.34436407142224e-06
"240",0.239,7.75234988416121e-06
"241",0.24,7.20094380446398e-06
"242",0.241,6.68746315395448e-06
"243",0.242,6.20939510367752e-06
"244",0.243,5.76438644342149e-06
"245",0.244,5.35023391657494e-06
"246",0.245,4.96487512051648e-06
"247",0.246,4.60637992022037e-06
"248",0.247,4.27294234269022e-06
"249",0.248,3.96287299083644e-06
"250",0.249,3.67459183105437e-06
"251",0.25,3.40662144419127e-06
"252",5,0
"253",10,0
"254",20,0
"255",50,0
"256",100,0
"257",500,0
"258",1000,0
"259",10000,0
