"","nmu","coeff_mmd_95"
"1",0,1
"2",0.001,0.977715522517023
"3",0.002,0.95574199899477
"4",0.003,0.934079320195113
"5",0.004,0.912727304031736
"6",0.005,0.891685695536529
"7",0.006,0.870954166813685
"8",0.007,0.85053231698256
"9",0.008,0.830419672110667
"10",0.009,0.810615685138638
"11",0.01,0.791119735798994
"12",0.011,0.771931130531136
"13",0.012,0.753049102395052
"14",0.013,0.734472810986522
"15",0.014,0.716201342356914
"16",0.015,0.698233708940927
"17",0.016,0.68056884949558
"18",0.017,0.66320562905434
"19",0.018,0.646142838900199
"20",0.019,0.629379196561607
"21",0.02,0.612913345835595
"22",0.021,0.596743856842222
"23",0.022,0.580869226114709
"24",0.023,0.565287876729713
"25",0.024,0.549998158482123
"26",0.025,0.534998348108805
"27",0.026,0.520286649565751
"28",0.027,0.505861194362943
"29",0.028,0.491720041961234
"30",0.029,0.477861180235346
"31",0.03,0.464282526007061
"32",0.031,0.450981925652376
"33",0.032,0.437957155786283
"34",0.033,0.425205924028559
"35",0.034,0.412725869853696
"36",0.035,0.400514565527781
"37",0.036,0.388569517134904
"38",0.037,0.376888165695187
"39",0.038,0.36546788837631
"40",0.039,0.354305999799937
"41",0.04,0.343399753443996
"42",0.041,0.33274634314149
"43",0.042,0.322342904675909
"44",0.043,0.312186517472934
"45",0.044,0.302274206387706
"46",0.045,0.292602943586399
"47",0.046,0.283169650520322
"48",0.047,0.273971199990464
"49",0.048,0.265004418299756
"50",0.049,0.25626608748997
"51",0.05,0.247752947659674
"52",0.051,0.239461699359242
"53",0.052,0.231389006058492
"54",0.053,0.223531496682188
"55",0.054,0.215885768208086
"56",0.055,0.2084483883221
"57",0.056,0.20121589812466
"58",0.057,0.194184814882089
"59",0.058,0.187351634816618
"60",0.059,0.180712835928373
"61",0.06,0.174264880842525
"62",0.061,0.168004219674589
"63",0.062,0.161927292906903
"64",0.063,0.156030534268954
"65",0.064,0.150310373614618
"66",0.065,0.144763239788889
"67",0.066,0.139385563477188
"68",0.067,0.134173780030148
"69",0.068,0.129124332256963
"70",0.069,0.124233673180635
"71",0.07,0.119498268748465
"72",0.071,0.11491460049167
"73",0.072,0.110479168127904
"74",0.073,0.106188492101016
"75",0.074,0.102039116052628
"76",0.075,0.0980276092203568
"77",0.076,0.0941505687580276
"78",0.077,0.090404621973377
"79",0.078,0.0867864284794327
"80",0.079,0.0832926822558088
"81",0.08,0.0799201136168656
"82",0.081,0.0766654910838965
"83",0.082,0.0735256231589932
"84",0.083,0.0704973599986888
"85",0.084,0.0675775949857671
"86",0.085,0.0647632661981581
"87",0.086,0.0620513577741768
"88",0.087,0.0594389011737645
"89",0.088,0.056922976335692
"90",0.089,0.0545007127311533
"91",0.09,0.0521692903144662
"92",0.091,0.0499259403719174
"93",0.092,0.0477679462700936
"94",0.093,0.0456926441053165
"95",0.094,0.0436974232561379
"96",0.095,0.0417797268410464
"97",0.096,0.039937052083682
"98",0.097,0.0381669505882107
"99",0.098,0.0364670285276423
"100",0.099,0.0348349467479357
"101",0.1,0.0332684207910406
"102",0.101,0.0317652208400114
"103",0.102,0.0303231715895068
"104",0.103,0.0289401520449977
"105",0.104,0.0276140952542443
"106",0.105,0.026342987974255
"107",0.106,0.0251248702776182
"108",0.107,0.0239578351012776
"109",0.108,0.0228400277416467
"110",0.109,0.0217696452993033
"111",0.11,0.020744936076847
"112",0.111,0.0197641989332875
"113",0.112,0.0188257825983443
"114",0.113,0.0179280849499858
"115",0.114,0.0170695522583536
"116",0.115,0.0162486783993242
"117",0.116,0.0154640040406964
"118",0.117,0.0147141158039708
"119",0.118,0.0139976454046489
"120",0.119,0.013313268773743
"121",0.12,0.0126597051631652
"122",0.121,0.0120357162376203
"123",0.122,0.0114401051553206
"124",0.123,0.0108717156399233
"125",0.124,0.0103294310458912
"126",0.125,0.00981217341931581
"127",0.126,0.0093189025562917
"128",0.127,0.00884861506055418
"129",0.128,0.00840034340235677
"130",0.129,0.00797315497995446
"131",0.13,0.00756615118551033
"132",0.131,0.00717846647669376
"133",0.132,0.00680926745529782
"134",0.133,0.00645775195424388
"135",0.134,0.00612314813394233
"136",0.135,0.00580471358916062
"137",0.136,0.00550173446731522
"138",0.137,0.00521352459906714
"139",0.138,0.00493942464190601
"140",0.139,0.00467880123766071
"141",0.14,0.00443104618423304
"142",0.141,0.00419557562236545
"143",0.142,0.00397182923787862
"144",0.143,0.00375926947960702
"145",0.144,0.00355738079372001
"146",0.145,0.00336566887436235
"147",0.146,0.00318365993114879
"148",0.147,0.003010899973531
"149",0.148,0.0028469541122204
"150",0.149,0.00269140587778372
"151",0.15,0.00254385655645612
"152",0.151,0.00240392454312595
"153",0.152,0.00227124471155205
"154",0.153,0.00214546780173511
"155",0.154,0.00202625982423027
"156",0.155,0.00191330148151644
"157",0.156,0.00180628760607399
"158",0.157,0.00170492661503342
"159",0.158,0.00160893998132176
"160",0.159,0.00151806172096524
"161",0.16,0.00143203789637267
